Stretch,seed,Outer_W,Outer_H,Inner_W,Inner_H,Outer_R,Inner_R,
0.5,1,193,184,99,120,1.048913043,1.212121212,
0.5,2,205,184,90,118,1.114130435,1.311111111,
0.75,1,222,190,86,113,1.168421053,1.313953488,
0.75,2,225,190,86,116,1.184210526,1.348837209,
1,1,255,202,88,127,1.26237624,1.44318182,
1,2,255,202,88,127,1.26237624,1.44318182,THIS SEED IS FAKE
1.25,1,255,171,63,104,1.49122807,1.650793651,
1.25,2,256,167,61,95,1.532934132,1.557377049,
1.5,1,298,165,57,99,1.806060606,1.736842105,
1.5,2,288,166,50,103,1.734939759,2.06,
