step etot ke peBond peAngle temp press stressX stressY stressZ AvBondForce
9090000 101762.299967125 47038.4999999999 21394.1087824162 33329.6911847091 0.999999999999999 -0.0131300876574855 26536.9853171686 1578.44259943537 -2688.85560683263 -1.84836451671979
9090000 101762.299967125 47038.4999999999 21394.1087824162 33329.6911847091 0.999999999999999 -0.0131300876574855 26536.9853171686 1578.44259943537 -2688.85560683263 -1.84836451671979
9090000 101762.299967125 47038.4999999999 21394.1087824162 33329.6911847091 0.999999999999999 -0.0131300876574855 26536.9853171686 1578.44259943537 -2688.85560683263 -1.84836451671979
9090404 100970.78372835 46706.58115119 21170.788989312 33093.4135878483 0.992943677013298 -0.0150197426908303 23497.8911363774 4899.25525807089 688.765563258859 -1.85220171562507
9090808 101787.007427118 47328.510506248 21405.8413328443 33052.655588026 1.00616538593382 -0.00639559611184514 20999.3969787837 -3510.47157313972 -5103.77678790314 -1.7381115289118
9091212 101958.903236669 47074.5778117584 21675.368717368 33208.9567075427 1.0007669847414 -0.014115033387235 21821.0450450696 6933.10468048938 -1420.2181907779 -1.85427420134662
9091616 101694.424431855 47105.2913882919 21463.3436842134 33125.7893593494 1.00141993023357 -0.0144788179577828 25093.5744344315 3138.7640054596 -193.933718829864 -1.8653886775043
9092020 101621.113412701 47181.2783053931 21118.0156476578 33321.8194596498 1.00303534988133 -0.0114122493668511 22722.9065073157 2796.78178760611 -3419.73044902183 -1.80132139234267
9092424 101753.009186228 47196.2898824636 21355.7320496894 33200.9872540755 1.00335448372001 -0.013320543372468 24018.1515128609 5166.07461010309 -3388.83403565876 -1.83863847102949
9092828 101520.464977845 46728.7339428665 21430.3676520313 33361.3633829471 0.993414627228047 -0.0118638361874007 24049.2333672686 2132.97483834731 -3207.74706268018 -1.80979536117813
9093232 101876.742854521 47073.8911391168 21555.5394239221 33247.3122914819 1.00075238664321 -0.0144365720612508 23827.9439813215 5272.77410691584 -1144.12305276108 -1.86181845845598
9093636 101977.785948806 47064.8021052146 21611.1983812478 33301.7854623438 1.00055916122356 -0.0135303611095476 26179.7082838402 4291.61577813247 -4269.61740900033 -1.84875733267049
9094040 101585.617354926 47083.2380602102 21202.8353021162 33299.5439925996 1.00095109453342 -0.0156448659222158 27088.1780694143 5654.38096452322 -2446.0884371749 -1.86395475930837
9094444 101790.504473918 46980.8620740129 21555.3754846297 33254.2669152751 0.99877466488117 -0.00966178514531788 19941.6235647595 1355.79434531575 -2587.25503474615 -1.77897389621366
9094848 101150.045958579 46770.5618656886 21138.4073426273 33241.0767502627 0.994303854623098 -0.00679524716961629 21200.3126604798 -2654.71777290557 -5386.51720064669 -1.71974390355124
9095252 101082.777932983 46930.1049826631 21150.9979666447 33001.6749836753 0.997695610673451 -0.0138123516072097 22606.3725346949 5517.03431398977 -1375.62221310368 -1.82277244639281
9095656 101698.691731229 47258.4154061393 21257.4668361888 33182.8094889008 1.00467522149174 -0.0141396963737465 23884.763199586 2725.75294962268 771.175554907647 -1.84280579068083
9096060 101822.256272739 47007.0925616875 21319.5147923509 33495.6489187007 0.999332303574467 -0.0168449924036613 26881.4514034762 5365.31343107348 373.76509504931 -1.87871899809521
